동,위험스코어
동소문동2가,3.8060665236856877
동소문동1가,1.4938151613187105
삼선동5가,1.1522042342413135
안암동3가,1.1270491916523802
성북동,0.7515849995450001
안암동5가,0.6799614169250099
하계동,0.5453793018231289
흑석동,0.48313470241625145
상계동,0.4738009368775842
보문동6가,0.4536277451055235
동소문동6가,0.45038450707711314
방학동,0.3956620477060559
쌍문동,0.3853221338016507
노량진동,0.38334723083579697
월계동,0.36059483188752417
남현동,0.348173500450502
동소문동4가,0.32370351850196244
공릉동,0.27906026343936485
창동,0.2787674386426513
도봉동,0.27831380669699396
봉천동,0.2634115553847599
삼선동4가,0.24509012901497007
정릉동,0.23249547582045196
삼선동1가,0.2022666545895005
본동,0.1981777255665606
동선동1가,0.15526816956289854
신림동,0.1491311540223827
보문동2가,0.12210663653393103
종암동,0.08850307249423521
장위동,0.08672354497531727
동소문동5가,0.08297780938070223
석관동,0.05356594055969066
동선동5가,0.029149030483945702
대방동,0.02629638136987831
돈암동,0.020483416466828497
중계동,0.014714679965367752
사당동,0.008708648888847948
동작동,0.003197393429395845
하월곡동,-0.0010607337963588481
신대방동,-0.022724778427464287
상도동,-0.03622708441132953
삼선동2가,-0.06430309577975417
길음동,-0.06820903471177489
보문동3가,-0.11449911778259372
상도1동,-0.164376291281115
상월곡동,-0.17117001602567083
보문동7가,-0.2187975666097194
안암동1가,-0.22779442993145066
보문동1가,-0.2833814547671845
안암동2가,-0.2976708328567775
동선동4가,-0.33251211913808376
동소문동7가,-0.38937832261090644
동선동3가,-0.421574359756443
삼선동3가,-0.4307907397002711
성북동1가,-0.4586047546332991
보문동5가,-0.4628280088618735
동선동2가,-0.5456679215187268
보문동4가,-0.5462939562739286
안암동4가,-0.7541393741668078
동소문동3가,-1.2516786246779437
